province,year,province_rd_exp
北京市,2017,1579.7
北京市,2018,1870.8
北京市,2019,2233.6
北京市,2020,2326.6
北京市,2021,2629.3
北京市,2022,2843.3
北京市,2023,2947.1
天津市,2017,458.7
天津市,2018,492.4
天津市,2019,463.0
天津市,2020,485.0
天津市,2021,574.3
天津市,2022,568.7
河北省,2017,452.0
河北省,2018,499.7
河北省,2019,566.7
河北省,2020,634.4
河北省,2021,745.5
河北省,2022,848.9
山西省,2017,148.2
山西省,2018,175.8
山西省,2019,191.2
山西省,2020,211.1
山西省,2021,251.9
山西省,2022,273.7
内蒙古自治区,2017,132.3
内蒙古自治区,2018,129.2
内蒙古自治区,2019,147.8
内蒙古自治区,2020,161.1
内蒙古自治区,2021,190.1
内蒙古自治区,2022,209.5
辽宁省,2017,429.9
辽宁省,2018,460.1
辽宁省,2019,508.5
辽宁省,2020,549.0
辽宁省,2021,600.4
辽宁省,2022,620.9
吉林省,2017,128.0
吉林省,2018,115.0
吉林省,2019,148.4
吉林省,2020,159.5
吉林省,2021,183.7
吉林省,2022,187.3
黑龙江省,2017,146.6
黑龙江省,2018,135.0
黑龙江省,2019,146.6
黑龙江省,2020,173.2
黑龙江省,2021,194.6
黑龙江省,2022,217.8
上海市,2017,1205.2
上海市,2018,1359.2
上海市,2019,1524.6
上海市,2020,1615.7
上海市,2021,1819.8
上海市,2022,1981.6
上海市,2023,2049.6
江苏省,2017,2260.1
江苏省,2018,2504.4
江苏省,2019,2779.5
江苏省,2020,3005.9
江苏省,2021,3438.6
江苏省,2022,3835.4
江苏省,2023,4212.3
浙江省,2017,1266.3
浙江省,2018,1445.7
浙江省,2019,1669.8
浙江省,2020,1859.9
浙江省,2021,2157.7
浙江省,2022,2416.8
浙江省,2023,2640.2
安徽省,2017,564.9
安徽省,2018,649.0
安徽省,2019,754.0
安徽省,2020,883.2
安徽省,2021,1006.1
安徽省,2022,1152.5
安徽省,2023,1264.7
福建省,2017,543.1
福建省,2018,642.8
福建省,2019,753.7
福建省,2020,842.4
福建省,2021,968.7
福建省,2022,1082.1
福建省,2023,1171.7
江西省,2017,255.8
江西省,2018,310.7
江西省,2019,384.3
江西省,2020,430.7
江西省,2021,502.2
江西省,2022,558.2
山东省,2017,1753.0
山东省,2018,1643.3
山东省,2019,1494.7
山东省,2020,1681.9
山东省,2021,1944.7
山东省,2022,2180.4
山东省,2023,2386.0
河南省,2017,582.1
河南省,2018,671.5
河南省,2019,793.0
河南省,2020,901.3
河南省,2021,1018.8
河南省,2022,1143.3
河南省,2023,1211.7
湖北省,2017,700.6
湖北省,2018,822.1
湖北省,2019,957.9
湖北省,2020,1005.3
湖北省,2021,1160.2
湖北省,2022,1254.7
湖北省,2023,1408.2
湖南省,2017,568.5
湖南省,2018,658.3
湖南省,2019,787.2
湖南省,2020,898.7
湖南省,2021,1028.9
湖南省,2022,1175.3
湖南省,2023,1283.9
广东省,2017,2345.6
广东省,2018,2704.7
广东省,2019,3098.5
广东省,2020,3479.9
广东省,2021,4002.2
广东省,2022,4411.9
广东省,2023,4802.6
广西壮族自治区,2017,142.2
广西壮族自治区,2018,144.9
广西壮族自治区,2019,167.1
广西壮族自治区,2020,173.2
广西壮族自治区,2021,199.5
广西壮族自治区,2022,217.9
海南省,2017,23.1
海南省,2018,26.9
海南省,2019,29.9
海南省,2020,36.6
海南省,2021,47.0
海南省,2022,68.4
重庆市,2017,364.6
重庆市,2018,410.2
重庆市,2019,469.6
重庆市,2020,526.8
重庆市,2021,603.8
重庆市,2022,686.6
四川省,2017,637.8
四川省,2018,737.1
四川省,2019,871.0
四川省,2020,1055.3
四川省,2021,1214.5
四川省,2022,1215.0
四川省,2023,1357.8
贵州省,2017,95.9
贵州省,2018,121.6
贵州省,2019,144.7
贵州省,2020,161.7
贵州省,2021,180.4
贵州省,2022,199.3
云南省,2017,157.8
云南省,2018,187.3
云南省,2019,220.0
云南省,2020,246.0
云南省,2021,281.9
云南省,2022,313.5
西藏自治区,2017,2.9
西藏自治区,2018,3.7
西藏自治区,2019,4.3
西藏自治区,2020,4.4
西藏自治区,2021,6.0
西藏自治区,2022,7.0
陕西省,2017,460.9
陕西省,2018,532.4
陕西省,2019,584.6
陕西省,2020,632.3
陕西省,2021,700.6
陕西省,2022,769.6
甘肃省,2017,88.4
甘肃省,2018,97.1
甘肃省,2019,110.2
甘肃省,2020,109.6
甘肃省,2021,129.5
甘肃省,2022,144.1
青海省,2017,17.9
青海省,2018,17.3
青海省,2019,20.6
青海省,2020,21.3
青海省,2021,26.8
青海省,2022,28.8
宁夏回族自治区,2017,38.9
宁夏回族自治区,2018,45.6
宁夏回族自治区,2019,54.5
宁夏回族自治区,2020,59.6
宁夏回族自治区,2021,70.4
宁夏回族自治区,2022,79.4
新疆维吾尔自治区,2017,57.0
新疆维吾尔自治区,2018,64.3
新疆维吾尔自治区,2019,64.1
新疆维吾尔自治区,2020,61.6
新疆维吾尔自治区,2021,78.3
新疆维吾尔自治区,2022,91.0
