N,firms,coef,se,p,r2_within,variable,category
26770,5403,-0.02376343150896406,0.023384119277847764,0.309535701684166,0.0004956883882274443,ln_invention_apply,创新产出
26770,5403,-0.0043647135217827066,0.02177737618010631,0.8411507313002893,0.0021715988270086806,ln_invention_grant,创新产出
26770,5403,-0.00015171518033307244,0.03232469140557337,0.9962552051266862,0.0007864811678894856,ln_patent_apply_total,创新产出
26770,5403,0.04305679398899575,0.03398999587077119,0.2052588593657354,0.0038592604498725036,ln_patent_grant_total,创新产出
26770,5403,-0.546519905788652,0.11799454051033634,3.6474454647716925e-06,0.04419974411257166,ln_rd_expense,研发投入
22829,4898,-0.2852076560448927,0.12687753156018564,0.024594848219579468,0.060066566451423276,rd_intensity,研发投入
26770,5403,-0.1381333644492103,0.04172930619649515,0.000933756210651504,0.1106579946888111,ln_rd_staff,研发投入
21953,4843,0.01917216046547027,0.29245373043260775,0.9477319134760629,0.005111079264118357,rd_staff_ratio,研发投入
26770,5403,0.14526105529907496,0.05937314254954952,0.014429942656997596,0.07936737752398881,eff_apply_rd_10k,创新效率
26770,5403,0.16001649090119835,0.05905330270785006,0.006739865704317838,0.07793059804573521,eff_grant_rd_10k,创新效率
26770,5403,0.11363172190788352,0.04750334396827137,0.016761856665505892,0.06655599392543787,eff_apply_staff,创新效率
26770,5403,0.12838715751000684,0.046888201115096007,0.0061836146599603126,0.0653042666079211,eff_grant_staff,创新效率
