N,firms,coef,se,p,r2_within,exclusion,dependent
26663,5391,0.15171803424127356,0.05940930057703326,0.010663097102775243,0.08029933598530004,top1,eff_apply_rd_10k
26663,5391,0.16842722865681803,0.05898331836376492,0.004300988572173647,0.07964020119373094,top1,eff_grant_rd_10k
26663,5391,0.11896178003932867,0.04749362665462333,0.012259673054431763,0.0673732281423367,top1,eff_apply_staff
26663,5391,-0.02343491930305327,0.02345068511032511,0.31764734135170314,0.0005404267973768695,top1,ln_invention_apply
26663,5391,-0.5597402469894451,0.11804342947138008,2.13183434660813e-06,0.04503287366703557,top1,ln_rd_expense
26497,5362,0.15593696673105548,0.06008645768238933,0.009459853331411194,0.08020907571284663,top5,eff_apply_rd_10k
26497,5362,0.17037235692872177,0.05965274127166215,0.004293398537984716,0.07960918831007935,top5,eff_grant_rd_10k
26497,5362,0.121356408874677,0.047479750766423294,0.01059642210055367,0.06811933376271406,top5,eff_apply_staff
26497,5362,-0.02159884580840426,0.023575610477238496,0.3595975653274215,0.0005252643643315347,top5,ln_invention_apply
26497,5362,-0.569788407510452,0.11949646827355641,1.8707637359227647e-06,0.044768061684016036,top5,ln_rd_expense
25291,5152,0.0771589627777944,0.06183236084471811,0.21209191234305802,0.08314744623775039,top10,eff_apply_rd_10k
25291,5152,0.08211537994808871,0.061491497620102635,0.18176251116820596,0.08266702234830892,top10,eff_grant_rd_10k
25291,5152,0.09263266905932824,0.049520201557562975,0.061414538787192496,0.06709075249699847,top10,eff_apply_staff
25291,5152,-0.022901504073216086,0.02474134284560138,0.3546457188332661,0.0005448460292692969,top10,ln_invention_apply
25291,5152,-0.38854059949183095,0.12196641739482117,0.001446565144346268,0.04797302492465827,top10,ln_rd_expense
