N,firms,coef,se,p,r2_within,metric
26770,5403,0.5221467219705076,0.12009470991748072,1.3815144609408136e-05,0.039574782972713995,eff_apply_rd_yuan
26770,5403,0.14526105529907496,0.05937314254954952,0.014429942656997596,0.07936737752398881,eff_apply_rd_10k
26770,5403,-0.03939461668468285,0.03632169752003691,0.27810983430753744,0.11134287953129263,eff_apply_rd_million
26770,5403,0.536902157572631,0.12023399109887828,8.02997028648278e-06,0.0384344711911937,eff_grant_rd_yuan
26770,5403,0.16001649090119835,0.05905330270785006,0.006739865704317838,0.07793059804573521,eff_grant_rd_10k
26770,5403,-0.024639181082559553,0.03528420753374325,0.4849933218863629,0.11341599102889088,eff_grant_rd_million
26770,5403,0.11363172190788352,0.04750334396827137,0.016761856665505892,0.06655599392543787,eff_apply_staff
26770,5403,0.12838715751000684,0.046888201115096007,0.0061836146599603126,0.0653042666079211,eff_grant_staff
22913,4930,-8.508308267984916e-09,3.931577507556604e-09,0.030470165925023274,0.006095307732373545,apply_per_rd_w
22913,4930,-1.5980509285348484e-09,1.8243398921358484e-09,0.3810628428303122,0.0019760237096477784,grant_per_rd_w
21993,4845,1.4627523229678754e-06,0.001183812758130254,0.9990141260383139,6.781564353042224e-05,apply_per_staff_w
21993,4845,0.000167070620121189,0.0006051333650712865,0.7824830957680087,0.0004573503585966199,grant_per_staff_w
22913,4930,-8.508308267983872e-09,3.931577507556204e-09,0.030470165925026826,0.006095307732373545,asinh_apply_per_rd
22913,4930,-1.5980509285348362e-09,1.8243398921358135e-09,0.3810628428303069,0.0019760237096475564,asinh_grant_per_rd
21993,4845,-6.955410369867285e-06,0.0011710969189005806,0.9952612795053302,7.066588722826062e-05,asinh_apply_per_staff
21993,4845,0.00016481459941189203,0.0006038588325298286,0.7849059746689933,0.000455725155688369,asinh_grant_per_staff
