,0
rd_staff_ratio,0.18000149409831168
policy_exposure,0.16547138801733155
pre_rd_intensity,0.16547138801733155
rd_intensity_raw,0.15867324069923802
rd_intensity,0.1472807410727626
soe,0.06024951441804871
firm_age,0.03514866278201106
revenue,0.01968474525623786
income_tax_expense,0.007918721051845212
cashflow_ratio,7.470491558344539e-05
cashflow,7.470491558344539e-05
total_assets,3.735245779172269e-05
roa,3.735245779172269e-05
invention_apply,0.0
year,0.0
total_subsidy,0.0
rd_expense,0.0
patent_grant_total,0.0
rd_staff,0.0
patent_apply_total,0.0
invention_grant,0.0
profit_before_tax,0.0
subsidy_count,0.0
manufacturing,0.0
ln_assets,0.0
post2019,0.0
post2020,0.0
post2021,0.0
post2022,0.0
rd_subsidy_count,0.0
rd_subsidy,0.0
manufacturing_post2019,0.0
post2023,0.0
manufacturing_post2020,0.0
manufacturing_post2021,0.0
tax_saving_est,0.0
ln_invention_apply,0.0
manufacturing_post2022,0.0
rd_deduction_rate,0.0
ln_patent_apply_total,0.0
ln_invention_grant,0.0
ln_patent_grant_total,0.0
ln_rd_expense,0.0
ln_rd_subsidy,0.0
ln_rd_staff,0.0
ln_tax_saving_est,0.0
ln_total_subsidy,0.0
