variable,smd_before,smd_after,mfg_mean_before,nonmfg_mean_before,model,dependent,coef,std_err,p_value,nobs,firms,years,r2_within,engine
ln_assets,-0.42842401491640847,-0.22506776990301472,21.94995895206907,22.627435092911178,,,,,,,,,,
roa,0.31137495204849713,0.24060207197625816,0.052115171138856366,0.023234296435554396,,,,,,,,,,
cashflow_ratio,0.2428944369608267,0.1492700022921784,0.06455747609668447,0.047715940400146845,,,,,,,,,,
firm_age,-0.27532030005381036,-0.14291555777742376,19.889082664806416,21.590384615384615,,,,,,,,,,
manufacturing_post2021,,,,,M13a_PSM_DID,ln_invention_apply,-0.011518798860234712,0.026282653153723124,0.661198744659083,21320.0,3874.0,6.0,0.0005710799977913794,PanelOLS
ln_assets,,,,,M13a_PSM_DID,ln_invention_apply,0.05663536654775422,0.022894326047879814,0.013378910030158675,21320.0,3874.0,6.0,0.0005710799977913794,PanelOLS
roa,,,,,M13a_PSM_DID,ln_invention_apply,0.00714492051934751,0.08406642206475648,0.9322692260781105,21320.0,3874.0,6.0,0.0005710799977913794,PanelOLS
cashflow_ratio,,,,,M13a_PSM_DID,ln_invention_apply,0.00579393496382218,0.10326605274311955,0.9552573141862299,21320.0,3874.0,6.0,0.0005710799977913794,PanelOLS
manufacturing_post2021,,,,,M13b_IPW_DID,ln_invention_apply,-0.033656912390636506,0.02738199728086575,0.21902546413627477,24498.0,4427.0,6.0,0.0005625075321290529,IPW-PanelOLS
ln_assets,,,,,M13b_IPW_DID,ln_invention_apply,0.04561120255919823,0.022154458406466394,0.039527997412263094,24498.0,4427.0,6.0,0.0005625075321290529,IPW-PanelOLS
roa,,,,,M13b_IPW_DID,ln_invention_apply,-0.03716981169111305,0.0759844315698141,0.6247219683419862,24498.0,4427.0,6.0,0.0005625075321290529,IPW-PanelOLS
cashflow_ratio,,,,,M13b_IPW_DID,ln_invention_apply,0.04887618032299428,0.09338649481612421,0.6007189228875596,24498.0,4427.0,6.0,0.0005625075321290529,IPW-PanelOLS
