model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M7_SOE_subsample,ln_invention_apply,manufacturing_post2021,-0.004796427731540969,0.10219566035566742,0.962566948282594,10546,524,6,-0.01007829433670615,PanelOLS
M7_SOE_subsample,ln_invention_apply,ln_assets,-0.014890080758692196,0.08701849695796292,0.8641376064421415,10546,524,6,-0.01007829433670615,PanelOLS
M7_SOE_subsample,ln_invention_apply,roa,-0.025771713157128534,0.31257318374347315,0.9342903873781823,10546,524,6,-0.01007829433670615,PanelOLS
M7_SOE_subsample,ln_invention_apply,firm_age,-0.052605544369332964,0.050154457620727906,0.2942629174174569,10546,524,6,-0.01007829433670615,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,manufacturing_post2021,-0.008207612832448924,0.06317975485276782,0.8966395399187046,26271,1183,6,-0.36575941791978184,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,ln_assets,-0.056641904133299704,0.06464992890525068,0.3809663954437017,26271,1183,6,-0.36575941791978184,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,roa,-0.3853260811156246,0.2647198486232045,0.1455158816203339,26271,1183,6,-0.36575941791978184,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,firm_age,0.2901419363480251,0.19865343558937398,0.14415335454282086,26271,1183,6,-0.36575941791978184,PanelOLS
M7_SOE_subsample,ln_invention_apply,manufacturing_post2021,-0.0104612600606929,0.10168629846112587,0.9180619847085503,10837,549,7,-0.009622800575554757,PanelOLS
M7_SOE_subsample,ln_invention_apply,ln_assets,-0.015875913948296478,0.08281433930407073,0.8479771610127234,10837,549,7,-0.009622800575554757,PanelOLS
M7_SOE_subsample,ln_invention_apply,roa,0.10054202179985786,0.3130733426790447,0.7481068383406966,10837,549,7,-0.009622800575554757,PanelOLS
M7_SOE_subsample,ln_invention_apply,firm_age,-0.0500390362679856,0.047613148304252666,0.29330628210232756,10837,549,7,-0.009622800575554757,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,manufacturing_post2021,-0.0021552740039739067,0.06299577313165552,0.9727075692680478,27075,1231,7,-0.39700402244252575,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,ln_assets,-0.05748276305361061,0.06229909188497332,0.35617727888901385,27075,1231,7,-0.39700402244252575,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,roa,-0.3573422245006629,0.2550862819165462,0.16126554338019838,27075,1231,7,-0.39700402244252575,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,firm_age,0.2900565762073759,0.19224717116499793,0.13137004913362094,27075,1231,7,-0.39700402244252575,PanelOLS
M7_SOE_subsample,ln_invention_apply,manufacturing_post2021,-0.05322877437406133,0.10890753700197177,0.6250249269346422,14674,613,8,-0.09555120929893879,PanelOLS
M7_SOE_subsample,ln_invention_apply,ln_assets,0.05916210915316461,0.0870101446884293,0.49655051624717417,14674,613,8,-0.09555120929893879,PanelOLS
M7_SOE_subsample,ln_invention_apply,roa,0.24590396996163005,0.32079235356972624,0.4433608958154849,14674,613,8,-0.09555120929893879,PanelOLS
M7_SOE_subsample,ln_invention_apply,firm_age,-0.11701966788264935,0.06674841716030598,0.07959889125556208,14674,613,8,-0.09555120929893879,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,manufacturing_post2021,-0.037694755458320975,0.05935710658338717,0.5253996025661543,36997,1294,8,-0.06840668311741793,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,ln_assets,-0.02023431268817276,0.04995733275975914,0.6854565006929194,36997,1294,8,-0.06840668311741793,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,roa,-0.2731719630328997,0.22041617621664303,0.215225444095277,36997,1294,8,-0.06840668311741793,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,firm_age,0.12271044632832212,0.11023427984424206,0.2656392089016997,36997,1294,8,-0.06840668311741793,PanelOLS
M7_SOE_subsample,ln_invention_apply,manufacturing_post2021,-0.06044299650525618,0.11256954171252063,0.5913206315803259,11444,575,6,-0.1870623702805907,PanelOLS
M7_SOE_subsample,ln_invention_apply,ln_assets,0.21002351292507432,0.10835002307993165,0.05260276462101765,11444,575,6,-0.1870623702805907,PanelOLS
M7_SOE_subsample,ln_invention_apply,roa,0.7228355814836677,0.3939676897350165,0.06656881250428826,11444,575,6,-0.1870623702805907,PanelOLS
M7_SOE_subsample,ln_invention_apply,firm_age,-0.24245136399243164,0.12973746511861975,0.06167970107077814,11444,575,6,-0.1870623702805907,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,manufacturing_post2021,-0.06438623131598871,0.06397668172891965,0.31423117831032177,29153,1242,6,0.002691460966251613,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,ln_assets,-0.010315570810412664,0.05959523109757069,0.862578877373473,29153,1242,6,0.002691460966251613,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,roa,-0.3677765928739636,0.19384326315375824,0.057800187146100246,29153,1242,6,0.002691460966251613,PanelOLS
M7_NonSOE_subsample,ln_invention_apply,firm_age,0.020386381007492897,0.09235993259410821,0.8253061990444279,29153,1242,6,0.002691460966251613,PanelOLS
