dependent,fe_type,coef,se,p_value,nobs
eff_invention_apply_rd_10k,Baseline,0.2653,0.0616,0.0,25831
eff_invention_apply_rd_10k,+Province Controls,0.2656,0.0614,0.0,25813
eff_invention_grant_rd_10k,Baseline,0.2766,0.061,0.0,25831
eff_invention_grant_rd_10k,+Province Controls,0.2773,0.0609,0.0,25813
eff_invention_apply_staff,Baseline,0.1739,0.0492,0.0004,25831
eff_invention_apply_staff,+Province Controls,0.1731,0.0492,0.0004,25813
ln_rd_expense_10k,Baseline,-0.2828,0.0568,0.0,25831
ln_rd_expense_10k,+Province Controls,-0.2849,0.0567,0.0,25813
ln_rd_staff,Baseline,-0.1941,0.0443,0.0,25831
ln_rd_staff,+Province Controls,-0.1952,0.0443,0.0,25813
