N,firms,r2_within,r2_overall,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,category
25831,5262,0.0004964424745035334,0.0004727311340816387,-0.024725786420105974,0.024588904368581202,0.31463582470886475,0.04654861735403325,0.02056786978341623,0.023635499280475925,-0.001965705211846451,0.07611124895212011,0.979395786541869,0.022471853637549534,0.09131230566655403,0.8056081680768084,,,,ln_invention_apply,创新数量
25831,5262,0.0019943088588351143,0.0012921679423347765,-0.011304137195530717,0.022952836653525648,0.6223753333466218,0.06974319812577899,0.017420696724177866,6.263978773812795e-05,-0.07223207288593665,0.057638453509522306,0.21014994023425926,0.1157853423307838,0.07359290969535968,0.11565966960266949,,,,ln_invention_grant,创新数量
25831,5262,0.10183898655896373,0.07554173369012773,-0.28838106314415307,0.05677694213711222,3.8235440080747196e-07,1.0647635165481049,0.06289192324189088,0.0,0.35759002871741613,0.17678864891498847,0.04311722216846792,-0.03853554891996011,0.21672189456176022,0.8588731160470402,,,,ln_rd_expense_10k,研发投入
22822,4898,0.06003555531560145,0.0637150453143912,-0.0028570466652362977,0.0012702518912148493,0.024512063722850863,-0.0015457848869522704,0.0012088541972327007,0.20101257412894546,-0.0878878663729788,0.007628803477567583,0.0,-0.022141013788374835,0.005345471951479962,3.458492648067413e-05,,,,rd_intensity_01,研发投入
25831,5262,0.1075495239818588,0.08079609038694091,-0.1971490322467558,0.044312846902333995,8.671298540763317e-06,0.8387699179464168,0.045867049851102445,0.0,0.03268607379885119,0.12186314270273965,0.7885330404094373,-0.13871341991365732,0.15188868869402966,0.3611180600957915,,,,ln_rd_staff,研发投入
25831,5262,0.074420102754719,0.05278797706792626,0.26365527672404687,0.06156339566100864,1.8550737104439108e-05,-1.018214899194072,0.06495198348991336,0.0,-0.35955573392926243,0.18982060060629266,0.05821420049357395,0.061007402557509346,0.23179281601210527,0.7924006197664961,,,,eff_apply_rd_10k,创新效率
25831,5262,0.07384456649434745,0.05387488788802153,0.2770769259486223,0.06113614006418628,5.872085917957293e-06,-0.9950203184223262,0.06428878855275548,0.0,-0.42982210160335294,0.18426690347694752,0.01967842688617938,0.1543208912507438,0.22777415885679736,0.4980855376123534,,,,eff_grant_rd_10k,创新效率
25831,5262,0.06540884719304085,0.04681965505740171,0.17242324582664975,0.04987748964368969,0.0005474607258197928,-0.7922213005923834,0.047868414845474876,0.0,-0.03465177901069763,0.13842820524266383,0.8023399863221139,0.16118527355120682,0.1729411201617041,0.3513350696449782,,,,eff_apply_staff,创新效率
25831,5262,0.06505733776042255,0.04823040396744449,0.18584489505122523,0.04911191979025252,0.00015469730892370137,-0.7690267198206374,0.04747359924524727,0.0,-0.1049181466847877,0.13342926891019613,0.43168890788652003,0.2544987622444411,0.16982304080218769,0.1339898000168287,,,,eff_grant_staff,创新效率
