N,firms,r2_within,r2_overall,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,did_x_high_pre_rd_coef,did_x_high_pre_rd_se,did_x_high_pre_rd_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,model
25831,5262,0.07570035372096384,0.05388973160525956,0.14031708992068484,0.06999677716821624,0.045016545284734644,0.22525571313609422,0.0509420641040281,9.838290379260428e-06,-1.0248114386679954,0.06497234184438931,0.0,-0.3527325916329752,0.18989064627022423,0.06324631794051494,0.07278257802332058,0.23148230284230403,0.7532055460306846,,,,eff_apply_rd_10k,交互项
25831,5262,0.0757402288235205,0.055570549126771174,0.12827593143358754,0.0686156654186142,0.06156962484605222,0.2717590958936532,0.04844783591373672,2.0574380865667763e-08,-1.002978694165618,0.06428919128979893,0.0,-0.4215903415481813,0.1842797312615825,0.022160802570007077,0.168527017230974,0.22734738842129154,0.45853496524380666,,,,eff_grant_rd_10k,交互项
25831,5262,0.06611724579624723,0.047429881002251206,0.09751543141387624,0.05989462421888831,0.10351548902497631,0.13680607435811218,0.053412721331115166,0.010435155944267915,-0.7962276214852547,0.0478543411839353,0.0,-0.030507833894517944,0.1385374344153708,0.8257069540406285,0.16833677043413958,0.17265677272833949,0.3295820252364745,,,,eff_apply_staff,交互项
25831,5262,0.06636232628061112,0.049414656428225845,0.08547427292677909,0.05778295399405653,0.13909420384138804,0.18330945711567112,0.05115598156513255,0.0003400081004742983,-0.7743948769828773,0.047440045617099254,0.0,-0.09936558380972409,0.13347739634244243,0.45662032732912783,0.264081209641793,0.16939698569905165,0.11902391620714581,,,,eff_grant_staff,交互项
11162,2044,0.11741349773986542,0.07378819607247256,-0.06696268105713031,0.07940283332860468,0.3990668305423899,,,,-0.984932307666254,0.08722107180159532,0.0,0.13108474630976424,0.214365665539557,0.5408834408364265,-0.27190074717143226,0.29287758066182085,0.35323675469637705,,,,eff_apply_rd_10k,分组-高研发基础
11162,2044,0.11463056985655473,0.07737194833002958,-0.05260665678854748,0.07888407320182118,0.5048620663067873,,,,-0.954101578895837,0.08444576271207332,0.0,-0.010784224500552253,0.20498485902194016,0.9580439152595113,0.07244968988915827,0.28380854366710406,0.7985152085807581,,,,eff_grant_rd_10k,分组-高研发基础
11162,2044,0.07710179349637858,0.057503067274973674,-0.07870042306576291,0.07432394854174511,0.28968079286350323,,,,-0.8282805838718558,0.06634183058557182,0.0,0.2857063922262482,0.17322688938002143,0.0991167898645513,0.016423910184506958,0.25852067515559013,0.9493455825028057,,,,eff_apply_staff,分组-高研发基础
11162,2044,0.07099789793026512,0.05956380071546008,-0.06434439879718021,0.07410297550213822,0.38524719888276726,,,,-0.7974498551014391,0.06508846845051623,0.0,0.14383742141593228,0.1640992671869613,0.3807667755719568,0.36077434724509777,0.25726772783109586,0.16085069396981444,,,,eff_grant_staff,分组-高研发基础
14669,3218,0.06485124665105946,0.04766081808196532,0.309438017448141,0.0839101393468492,0.00022731002232245778,,,,-1.0681191993080081,0.09367302387398516,0.0,-0.7238729807017168,0.3081860030856534,0.01885000313724583,0.33610284919314426,0.33090377215009714,0.30978814817076405,,,,eff_apply_rd_10k,分组-低研发基础
14669,3218,0.0655350897808622,0.04813630370472788,0.3047510732038034,0.08272385670326908,0.00023070049670859127,,,,-1.0528948747895073,0.09378695892228545,0.0,-0.7309724877400654,0.30112429973311255,0.015219552226599209,0.2747899604101992,0.326246464953082,0.39965041232232923,,,,eff_grant_rd_10k,分组-低研发基础
14669,3218,0.058097033452619296,0.04320909740472567,0.2209221554051971,0.0679067282078738,0.0011439677312734542,,,,-0.7780902423035574,0.06718087579044925,0.0,-0.25603959859821135,0.2114065172879222,0.22587273190738388,0.3141571009362546,0.23005499149182587,0.17209957469813775,,,,eff_apply_staff,分组-低研发基础
14669,3218,0.05951986897104722,0.044333582819984896,0.21623521116085942,0.06575940190540076,0.0010110633429805116,,,,-0.7628659177850564,0.06717495005795912,0.0,-0.2631391056365595,0.20593604474592325,0.20135610587750374,0.25284421215330943,0.2235357806668651,0.25803126914690666,,,,eff_grant_staff,分组-低研发基础
