N,firms,r2_within,r2_overall,placebo_did2019_coef,placebo_did2019_se,placebo_did2019_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,placebo_var,placebo_did2020_coef,placebo_did2020_se,placebo_did2020_p
15837,4472,0.03689152978437715,0.04003841901855609,0.29024128638152186,0.0718560988840806,5.3986199817002145e-05,-0.9762490380839522,0.1008584779286773,0.0,-0.32386807226296066,0.25209146367189855,0.1989147840078489,0.5070158725160515,0.32197248460411715,0.11534939898204799,,,,eff_apply_rd_10k,placebo_did2019,,,
15837,4472,0.04383093812661487,0.039921730994015414,,,,-0.981120541777606,0.10056532439175314,0.0,-0.35886486092092806,0.25169609357490147,0.1539574967507189,0.5298076040670969,0.3219781107574267,0.09989913401220729,,,,eff_apply_rd_10k,placebo_did2020,0.3252367872155229,0.07011654798754319,3.5483776132938516e-06
15837,4472,0.04183741998952861,0.04124721904632611,0.23663192610818998,0.07146844929909214,0.0009325361948424593,-0.9604099332917506,0.09924059782601329,0.0,-0.4316147862483747,0.24719331029911978,0.08082725626681908,0.5722408863648181,0.3134410179809008,0.06792573695450033,,,,eff_grant_rd_10k,placebo_did2019,,,
15837,4472,0.04675930158998409,0.04172585394826478,,,,-0.9654670748355868,0.0990578131812522,0.0,-0.46445123928019355,0.24697377353821276,0.06005612796798343,0.5888602116772113,0.31323467701310514,0.06014278103542425,,,,eff_grant_rd_10k,placebo_did2020,0.2957106960841222,0.0688157196050874,1.744578574469635e-05
15837,4472,0.05048744895713686,0.04060982627366738,0.11560590772689584,0.04885889474995767,0.01799240546864178,-0.7941939101202319,0.07093688350738987,0.0,-0.06740746126148701,0.1703067458151537,0.6922597889581286,0.2929499169763033,0.22779584806046266,0.19846245012787422,,,,eff_apply_staff,placebo_did2019,,,
15837,4472,0.050198878903133015,0.040985923677585356,,,,-0.7971163352466024,0.07088604931241681,0.0,-0.08524091609955382,0.17003139946194276,0.616152440935251,0.3002523719694765,0.22768565194768506,0.18729116379627775,,,,eff_apply_staff,placebo_did2020,0.15718280427026082,0.05275429798278899,0.002893054645393134
15837,4472,0.05808657694624275,0.043798835525176716,0.06199654745356378,0.048318872873682195,0.19949336155777164,-0.7783548053280295,0.06802119212323007,0.0,-0.1751541752469007,0.16349781475799657,0.28406016481121377,0.35817493082507035,0.21542616126278838,0.09641324774287896,,,,eff_grant_staff,placebo_did2019,,,
15837,4472,0.055911367284075975,0.044447080251990734,,,,-0.7814628683045839,0.0680879113757868,0.0,-0.19082729445881944,0.16335958674376574,0.24277376321291255,0.3593049795795912,0.2150674585605098,0.0948160571271841,,,,eff_grant_staff,placebo_did2020,0.12765671313886007,0.05109503852220635,0.012488954982586398
15837,4472,0.0007028886710445104,0.00022720479281312933,0.023970062921815926,0.026167698044255974,0.3596772927907592,0.025587152135376004,0.03154622517503439,0.4173250797127548,0.014900616511669974,0.09089742177460194,0.8697908802136263,0.04123556381455724,0.12589159957754364,0.7432593483368668,,,,ln_invention_apply,placebo_did2019,,,
15837,4472,0.0007958640052686539,0.0002363684697969104,,,,0.025122707485781347,0.031534931789470644,0.4256635379677829,0.011764026747947456,0.09103218263269536,0.897178487666898,0.04300552859329815,0.12597455399023233,0.7328218408080582,,,,ln_invention_apply,placebo_did2020,0.028608549159984946,0.02912698720140251,0.32602187101746827
15837,4472,0.05193322527231958,0.053334474849771274,-0.26627122345970594,0.06759616312469219,8.226088797935738e-05,1.0018361902193282,0.0978686084246854,0.0,0.3387686887746313,0.24024723243215293,0.1585423744134289,-0.4657803087014943,0.29976558256534624,0.12025637356871344,,,,ln_rd_expense_10k,placebo_did2019,,,
15837,4472,0.05989611638550607,0.053167185159104347,,,,1.0062432492633873,0.09761614128940423,0.0,0.3706288876688753,0.23973973817203242,0.1221412406304021,-0.48680207547379845,0.29965802775859585,0.1042914727653026,,,,ln_rd_expense_10k,placebo_did2020,-0.29662823805553795,0.06421812851764531,3.8969385851572724e-06
